Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals
157249,2020-01-21,62.0,50.0,0.0,1.0
157254,2020-01-21,52.0,41.0,0.0,2.0
157252,2020-01-21,49.0,42.0,2.0,2.0
157248,2020-01-22,46.0,48.0,4.0,1.0
157253,2020-01-22,47.0,71.0,2.0,1.0
157251,2020-01-22,33.0,44.0,0.0,2.0
157250,2020-01-23,39.0,40.0,1.0,2.0
157194,2020-01-29,48.0,40.0,0.0,2.0
157258,2020-02-01,46.0,49.0,2.0,2.0
157255,2020-02-01,35.0,66.0,2.0,1.0
157257,2020-02-01,52.0,62.0,0.0,1.0
157259,2020-02-01,40.0,41.0,4.0,0.0
157261,2020-02-01,34.0,71.0,0.0,0.0
157263,2020-02-01,38.0,45.0,2.0,3.0
157264,2020-02-01,48.0,51.0,3.0,3.0
157260,2020-02-01,33.0,39.0,0.0,0.0
157256,2020-02-02,44.0,42.0,0.0,0.0
157262,2020-02-02,47.0,50.0,2.0,0.0
157269,2020-02-08,45.0,52.0,3.0,1.0
157267,2020-02-08,51.0,38.0,1.0,1.0
157272,2020-02-09,62.0,35.0,2.0,1.0
157274,2020-02-14,39.0,46.0,0.0,0.0
157273,2020-02-15,41.0,44.0,1.0,2.0
157271,2020-02-15,71.0,40.0,0.0,1.0
157266,2020-02-16,66.0,47.0,2.0,3.0
157265,2020-02-16,42.0,34.0,4.0,0.0
157268,2020-02-17,49.0,33.0,0.0,2.0
157270,2020-02-19,50.0,48.0,2.0,0.0
157277,2020-02-22,49.0,47.0,2.0,1.0
157276,2020-02-22,44.0,35.0,3.0,0.0
157278,2020-02-22,52.0,34.0,1.0,0.0
157282,2020-02-22,62.0,51.0,1.0,1.0
157283,2020-02-22,41.0,66.0,2.0,0.0
157279,2020-02-22,46.0,50.0,0.0,1.0
157281,2020-02-23,33.0,38.0,3.0,0.0
157284,2020-02-23,39.0,71.0,3.0,0.0
157275,2020-02-23,42.0,45.0,3.0,2.0
157280,2020-02-24,40.0,48.0,3.0,2.0
157291,2020-02-28,71.0,46.0,1.0,0.0
157287,2020-02-29,51.0,52.0,0.0,1.0
157285,2020-02-29,35.0,49.0,2.0,2.0
157290,2020-02-29,34.0,44.0,0.0,0.0
157294,2020-02-29,48.0,41.0,3.0,1.0
157293,2020-02-29,38.0,40.0,3.0,0.0
157288,2020-03-01,45.0,33.0,1.0,1.0
157292,2020-03-01,47.0,39.0,2.0,3.0
157300,2020-03-07,40.0,35.0,2.0,1.0
157304,2020-03-07,39.0,51.0,0.0,0.0
157295,2020-03-07,42.0,48.0,1.0,0.0
157298,2020-03-07,52.0,38.0,1.0,0.0
157302,2020-03-07,62.0,71.0,1.0,0.0
157303,2020-03-07,41.0,34.0,0.0,1.0
157296,2020-03-07,44.0,47.0,1.0,1.0
157297,2020-03-08,49.0,45.0,4.0,0.0
157301,2020-03-08,33.0,50.0,2.0,0.0
157299,2020-03-09,46.0,66.0,4.0,0.0
157286,2020-06-17,66.0,62.0,0.0,0.0
157289,2020-06-17,50.0,42.0,3.0,0.0
157311,2020-06-19,71.0,41.0,0.0,3.0
157312,2020-06-19,47.0,33.0,1.0,1.0
157313,2020-06-20,38.0,46.0,1.0,1.0
157307,2020-06-20,51.0,42.0,2.0,1.0
157314,2020-06-20,48.0,39.0,0.0,2.0
157305,2020-06-20,35.0,52.0,0.0,2.0
157310,2020-06-21,34.0,62.0,3.0,0.0
157306,2020-06-21,66.0,49.0,1.0,2.0
157308,2020-06-21,45.0,40.0,0.0,0.0
157309,2020-06-22,50.0,44.0,5.0,0.0
157317,2020-06-23,46.0,51.0,0.0,0.0
157323,2020-06-23,47.0,48.0,2.0,0.0
157319,2020-06-24,33.0,62.0,3.0,0.0
157320,2020-06-24,34.0,66.0,1.0,1.0
157321,2020-06-24,71.0,45.0,0.0,1.0
157324,2020-06-24,39.0,35.0,1.0,0.0
157318,2020-06-24,40.0,52.0,4.0,0.0
157315,2020-06-25,44.0,38.0,1.0,0.0
157322,2020-06-25,41.0,42.0,0.0,2.0
157316,2020-06-25,49.0,50.0,2.0,1.0
157327,2020-06-27,66.0,39.0,0.0,1.0
157333,2020-06-28,38.0,41.0,,
157329,2020-06-29,52.0,44.0,,
157328,2020-06-30,51.0,33.0,,
157325,2020-07-01,35.0,34.0,,
157326,2020-07-01,42.0,71.0,,
157330,2020-07-01,45.0,46.0,,
157334,2020-07-01,48.0,49.0,,
157332,2020-07-02,62.0,47.0,,
157331,2020-07-02,50.0,40.0,,
157341,2020-07-04,71.0,51.0,,
157337,2020-07-04,46.0,52.0,,
157339,2020-07-04,33.0,35.0,,
157344,2020-07-04,39.0,42.0,,
157336,2020-07-04,49.0,38.0,,
157335,2020-07-05,44.0,62.0,,
157340,2020-07-05,34.0,48.0,,
157338,2020-07-05,40.0,66.0,,
157342,2020-07-05,41.0,50.0,,
157343,2020-07-06,47.0,45.0,,
157349,2020-07-07,52.0,49.0,,
157353,2020-07-07,38.0,71.0,,
157346,2020-07-07,42.0,46.0,,
157351,2020-07-08,50.0,34.0,,
157352,2020-07-08,62.0,39.0,,
157354,2020-07-08,48.0,44.0,,
157348,2020-07-08,51.0,40.0,,
157345,2020-07-09,35.0,47.0,,
157350,2020-07-09,45.0,41.0,,
157347,2020-07-09,66.0,33.0,,
157360,2020-07-11,71.0,48.0,,
157363,2020-07-11,38.0,34.0,,
157358,2020-07-11,40.0,44.0,,
157361,2020-07-11,62.0,49.0,,
157357,2020-07-11,51.0,50.0,,
157364,2020-07-12,39.0,45.0,,
157356,2020-07-12,66.0,52.0,,
157362,2020-07-12,47.0,42.0,,
157355,2020-07-12,35.0,46.0,,
157359,2020-07-13,33.0,41.0,,
157365,2020-07-15,42.0,40.0,,
157366,2020-07-15,44.0,39.0,,
157367,2020-07-15,49.0,71.0,,
157368,2020-07-15,52.0,33.0,,
157369,2020-07-15,45.0,66.0,,
157370,2020-07-15,46.0,62.0,,
157371,2020-07-15,50.0,35.0,,
157372,2020-07-15,34.0,47.0,,
157373,2020-07-15,41.0,51.0,,
157374,2020-07-15,48.0,38.0,,
157375,2020-07-18,35.0,41.0,,
157376,2020-07-18,66.0,42.0,,
157377,2020-07-18,51.0,34.0,,
157378,2020-07-18,40.0,49.0,,
157379,2020-07-18,33.0,48.0,,
157380,2020-07-18,71.0,44.0,,
157381,2020-07-18,62.0,45.0,,
157382,2020-07-18,47.0,46.0,,
157383,2020-07-18,38.0,50.0,,
157384,2020-07-18,39.0,52.0,,
157385,2020-07-26,42.0,38.0,,
157386,2020-07-26,44.0,51.0,,
157387,2020-07-26,49.0,39.0,,
157388,2020-07-26,52.0,47.0,,
157389,2020-07-26,45.0,35.0,,
157390,2020-07-26,46.0,33.0,,
157391,2020-07-26,50.0,71.0,,
157392,2020-07-26,34.0,40.0,,
157393,2020-07-26,41.0,62.0,,
157394,2020-07-26,48.0,66.0,,
